num_Matrices;error_cpu;t_cpu;throughput_cpu;perf_cpu;t_gpu;throughput_gpu;perf_gpu;error_gpu
1;0.00000000000002;0.006104;0.032768;0.000205;0.377197;0.000530;0.000003;0.00000000000002
2;0.00000000000003;0.004883;0.081920;0.000512;0.372070;0.001075;0.000007;0.00000000000003
3;0.00000000000006;0.006104;0.098304;0.000614;0.322998;0.001858;0.000012;0.00000000000005
4;0.00000000000007;0.021973;0.036409;0.000228;0.318115;0.002515;0.000016;0.00000000000006
5;0.00000000000009;0.009033;0.110703;0.000692;0.354004;0.002825;0.000018;0.00000000000008
6;0.00000000000010;0.019775;0.060681;0.000379;0.374023;0.003208;0.000020;0.00000000000009
7;0.00000000000011;0.025879;0.054098;0.000338;0.347168;0.004033;0.000025;0.00000000000011
8;0.00000000000013;0.041992;0.038102;0.000238;0.356934;0.004483;0.000028;0.00000000000013
9;0.00000000000015;0.029053;0.061956;0.000387;0.335205;0.005370;0.000034;0.00000000000015
10;0.00000000000017;0.044922;0.044522;0.000278;0.337891;0.005919;0.000037;0.00000000000017
20;0.00000000000034;0.041992;0.095256;0.000595;0.423096;0.009454;0.000059;0.00000000000033
30;0.00000000000051;0.056885;0.105476;0.000659;0.354980;0.016902;0.000106;0.00000000000048
40;0.00000000000068;0.114990;0.069571;0.000435;0.378906;0.021113;0.000132;0.00000000000065
50;0.00000000000085;0.079102;0.126420;0.000790;0.364990;0.027398;0.000171;0.00000000000082
60;0.00000000000102;0.108154;0.110953;0.000693;0.356934;0.033620;0.000210;0.00000000000098
70;0.00000000000116;0.177979;0.078661;0.000492;0.354004;0.039548;0.000247;0.00000000000114
80;0.00000000000129;0.135986;0.117659;0.000735;0.385010;0.041557;0.000260;0.00000000000128
90;0.00000000000142;0.204102;0.088191;0.000551;0.348145;0.051703;0.000323;0.00000000000141
100;0.00000000000158;0.187012;0.106945;0.000668;0.359131;0.055690;0.000348;0.00000000000155
200;0.00000000000326;0.274902;0.145506;0.000909;0.369873;0.108145;0.000676;0.00000000000318
300;0.00000000000495;0.441162;0.136004;0.000850;0.362061;0.165718;0.001036;0.00000000000481
400;0.00000000000664;0.577881;0.138437;0.000865;0.367920;0.217439;0.001359;0.00000000000643
500;0.00000000000826;0.654053;0.152893;0.000956;0.416992;0.239813;0.001499;0.00000000000805
600;0.00000000000993;0.747803;0.160470;0.001003;0.380127;0.315684;0.001973;0.00000000000972
700;0.00000000001164;0.832031;0.168263;0.001052;0.623047;0.224702;0.001404;0.00000000001141
800;0.00000000001331;1.124023;0.142346;0.000890;0.395020;0.405043;0.002532;0.00000000001307
900;0.00000000001490;1.062012;0.169490;0.001059;0.370850;0.485372;0.003034;0.00000000001467
1000;0.00000000001652;1.196045;0.167218;0.001045;0.376953;0.530570;0.003316;0.00000000001623
2000;0.00000000003304;2.324951;0.172047;0.001075;0.394043;1.015118;0.006344;0.00000000003276
3000;0.00000000004915;3.284912;0.182653;0.001142;0.440918;1.360797;0.008505;0.00000000004884
4000;0.00000000006582;4.351807;0.183832;0.001149;0.521973;1.532647;0.009579;0.00000000006519
5000;0.00000000008247;5.818848;0.171855;0.001074;0.500000;2.000000;0.012500;0.00000000008175
6000;0.00000000009898;7.249023;0.165540;0.001035;0.541992;2.214054;0.013838;0.00000000009814
7000;0.00000000011540;7.967041;0.175724;0.001098;0.560059;2.499738;0.015623;0.00000000011425
8000;0.00000000013197;8.876953;0.180242;0.001127;0.722168;2.215551;0.013847;0.00000000013052
9000;0.00000000014825;10.154785;0.177256;0.001108;0.883057;2.038374;0.012740;0.00000000014637
10000;0.00000000016453;11.632812;0.171927;0.001075;1.010986;1.978266;0.012364;0.00000000016232
20000;0.00000000032866;23.096924;0.173183;0.001082;1.473145;2.715280;0.016971;0.00000000032455
30000;0.00000000049381;32.346924;0.185489;0.001159;1.906982;3.146332;0.019665;0.00000000048755
40000;0.00000000065863;43.609131;0.183448;0.001147;2.540039;3.149558;0.019685;0.00000000064977
50000;0.00000000082342;55.009033;0.181788;0.001136;2.947021;3.393257;0.021208;0.00000000081268
60000;0.00000000098781;65.052002;0.184468;0.001153;3.396973;3.532557;0.022078;0.00000000097446
70000;0.00000000115261;78.399902;0.178572;0.001116;4.188965;3.342114;0.020888;0.00000000113667
80000;0.00000000131731;87.270020;0.183339;0.001146;4.468018;3.581007;0.022381;0.00000000129914
90000;0.00000000148241;96.987793;0.185590;0.001160;4.931152;3.650262;0.022814;0.00000000146166
100000;0.00000000164650;113.664795;0.175956;0.001100;5.471924;3.655022;0.022844;0.00000000162460
200000;0.00000000329462;217.627930;0.183800;0.001149;10.397949;3.846912;0.024043;0.00000000325035
300000;0.00000000494455;324.552979;0.184870;0.001155;15.375977;3.902191;0.024389;0.00000000487727
400000;0.00000000658961;433.210938;0.184668;0.001154;20.369873;3.927369;0.024546;0.00000000650150
500000;0.00000000823460;543.323975;0.184052;0.001150;25.413086;3.934981;0.024594;0.00000000812849
600000;0.00000000988147;653.890137;0.183517;0.001147;30.221924;3.970627;0.024816;0.00000000975428
700000;0.00000001152558;754.122070;0.185646;0.001160;35.123047;3.985987;0.024912;0.00000001137878
800000;0.00000001317553;865.377930;0.184890;0.001156;38.616943;4.143259;0.025895;0.00000001300760
900000;0.00000001482566;971.043213;0.185368;0.001159;43.228027;4.163965;0.026025;0.00000001463597
1000000;0.00000001647227;1082.593018;0.184742;0.001155;49.889893;4.008828;0.025055;0.00000001626311
