num_Matrices;error_cpu;t_cpu;throughput_cpu;t_gpu;throughput_gpu;error_gpu
1;0.000000;0.002930;341333.333333;0.362061;2761.968982;0.000000
2;0.000000;0.003906;512000.000000;0.344971;5797.593772;0.000000
3;0.000000;0.005859;512000.000000;0.347168;8641.350211;0.000000
4;0.000000;0.007080;564965.517241;0.384033;10415.766052;0.000000
5;0.000000;0.023926;208979.591837;0.344971;14493.984430;0.000000
6;0.000000;0.023926;250775.510204;0.373047;16083.769634;0.000000
7;0.000000;0.012207;573440.000000;0.362061;19333.782873;0.000000
8;0.000000;0.026855;297890.909091;0.363037;22036.314728;0.000000
9;0.000000;0.029053;309781.512605;0.346924;25942.294159;0.000000
10;0.000000;0.029053;344201.680672;0.375000;26666.666667;0.000000
20;0.000000;0.056885;351587.982833;0.362061;55239.379636;0.000000
30;0.000000;0.095215;315076.923077;0.344971;86963.906582;0.000000
40;0.000000;0.126221;316905.222437;0.375000;106666.666667;0.000000
50;0.000000;0.089844;556521.739130;0.351074;142420.027816;0.000000
60;0.000000;0.105957;566267.281106;0.353027;169958.506224;0.000000
70;0.000000;0.101807;687577.937650;0.364990;191785.953177;0.000000
80;0.000000;0.135010;592549.728752;0.381104;209916.720051;0.000000
90;0.000000;0.284180;316701.030928;0.375977;239376.623377;0.000000
100;0.000000;0.154053;649128.367670;0.466064;214562.598219;0.000000
200;0.000000;0.266113;751559.633028;0.371094;538947.368421;0.000000
300;0.000000;0.438965;683426.028921;0.360840;831393.775372;0.000000
400;0.000000;0.494873;808288.110508;0.373047;1072251.308901;0.000000
500;0.000000;0.680908;734313.373969;0.437012;1144134.078212;0.000000
600;0.000000;0.715820;838199.181446;0.364990;1643879.598662;0.000000
700;0.000000;1.140137;613961.456103;0.462158;1514632.857898;0.000000
800;0.000000;0.962158;831464.095407;0.364014;2197719.651241;0.000000
900;0.000000;1.157959;777229.601518;0.368896;2439708.802118;0.000000
1000;0.000000;1.252930;798129.384256;0.367920;2717982.747180;0.000000
2000;0.000000;2.191162;912757.660167;0.420898;4751740.139211;0.000000
3000;0.000000;3.441895;871612.994751;0.476807;6291858.678955;0.000000
4000;0.000000;4.514160;886100.594916;0.450928;8870600.974553;0.000000
5000;0.000000;5.474854;913266.443701;0.466064;10728129.910948;0.000000
6000;0.000000;6.585938;911032.028470;0.527100;11383047.707272;0.000000
7000;0.000000;8.187012;855012.822807;0.841064;8322786.647315;0.000000
8000;0.000000;8.993896;889492.114335;0.656006;12195013.025679;0.000000
9000;0.000000;9.900879;909010.208611;0.950928;9464441.591784;0.000000
10000;0.000000;11.179932;894459.851942;0.958984;10427698.574338;0.000000
20000;0.000000;21.777100;918395.946143;1.437988;13908319.185059;0.000000
30000;0.000000;33.182129;904101.122769;1.898926;15798405.759835;0.000000
40000;0.000000;43.311035;923552.158375;2.382812;16786885.245902;0.000000
50000;0.000000;53.923828;927233.873012;2.906006;17205746.450475;0.000000
60000;0.000000;65.967041;909545.116413;3.350098;17909925.666812;0.000000
70000;0.000000;76.588867;913970.953881;3.830811;18272895.290294;0.000000
80000;0.000000;87.493896;914349.494245;4.343994;18416231.102119;0.000000
90000;0.000000;96.650146;931193.622294;4.969971;18108758.657955;0.000000
100000;0.000000;112.216064;891138.006731;5.339844;18727139.722019;0.000000
200000;0.000000;215.837158;926624.505553;10.171143;19663474.232496;0.000000
300000;0.000000;335.588135;893952.940885;15.125000;19834710.743802;0.000000
400000;0.000000;430.034912;930157.037804;20.529053;19484581.445408;0.000000
500000;0.000000;542.959229;920879.457868;24.749023;20202817.346013;0.000000
600000;0.000000;676.119873;887416.601580;29.590088;20277060.420294;0.000000
700000;0.000000;762.952148;917488.732987;34.418945;20337636.544191;0.000000
800000;0.000000;865.475830;924347.014899;37.858887;21131102.082930;0.000000
900000;0.000000;972.818115;925147.245827;44.036865;20437422.037422;0.000000
