num_Matrices;error_cpu;t_cpu;throughput_cpu;t_gpu;throughput_gpu;error_gpu
1;0.000000;0.003174;315076.923077;0.384033;2603.941513;0.000000
2;0.000000;0.004150;481882.352941;0.337891;5919.075145;0.000000
3;0.000000;0.005859;512000.000000;0.322021;9316.148597;0.000000
4;0.000000;0.020996;190511.627907;0.334961;11941.690962;0.000000
5;0.000000;0.022949;217872.340426;0.372070;13438.320210;0.000000
6;0.000000;0.024902;240941.176471;0.347900;17246.315789;0.000000
7;0.000000;0.024902;281098.039216;0.369141;18962.962963;0.000000
8;0.000000;0.026855;297890.909091;0.348877;22930.720784;0.000000
9;0.000000;0.043945;204800.000000;0.500000;18000.000000;0.000000
10;0.000000;0.029053;344201.680672;0.325928;30681.647940;0.000000
20;0.000000;0.057129;350085.470085;0.367920;54359.654944;0.000000
30;0.000000;0.052979;566267.281106;0.350830;85511.482255;0.000000
40;0.000000;0.069092;578939.929329;0.353027;113305.670816;0.000000
50;0.000000;0.064941;769924.812030;0.366943;136260.811710;0.000000
60;0.000000;0.075928;790225.080386;0.357910;167639.836289;0.000000
70;0.000000;0.087158;803137.254902;0.355957;196652.949246;0.000000
80;0.000000;0.122070;655360.000000;0.374023;213890.339426;0.000000
90;0.000000;0.154785;581451.104101;0.359863;250094.979647;0.000000
100;0.000000;0.184082;543236.074271;0.366943;272521.623420;0.000000
200;0.000000;0.293213;682098.251457;0.390137;512640.801001;0.000000
300;0.000000;0.417969;717757.009346;0.375977;797922.077922;0.000000
400;0.000000;0.568115;704082.509669;0.404053;989969.788520;0.000000
500;0.000000;0.645996;773998.488284;0.374023;1336814.621410;0.000000
600;0.000000;0.776123;773073.293489;0.369141;1625396.825397;0.000000
700;0.000000;0.846924;826520.611127;0.371826;1882600.131320;0.000000
800;0.000000;0.937012;853778.009380;0.386963;2067381.703470;0.000000
900;0.000000;1.041016;864540.337711;0.401123;2243700.547778;0.000000
1000;0.000000;1.207031;828478.964401;0.432129;2314124.293785;0.000000
2000;0.000000;2.483887;805189.699233;0.427979;4673131.774102;0.000000
3000;0.000000;3.422119;876649.782407;0.457031;6564102.564103;0.000000
4000;0.000000;4.461182;896623.433481;0.463135;8636794.939378;0.000000
5000;0.000000;5.434814;919994.609407;0.460938;10847457.627119;0.000000
6000;0.000000;6.724854;892212.742785;0.531982;11278568.150528;0.000000
7000;0.000000;8.288818;844511.207328;0.626221;11178167.641326;0.000000
8000;0.000000;8.889160;899972.535018;0.761963;10499198.974688;0.000000
9000;0.000000;10.314941;872520.710059;0.902832;9968631.692807;0.000000
10000;0.000000;11.593018;862588.185743;0.983887;10163771.712159;0.000000
20000;0.000000;21.929932;911995.546897;1.453125;13763440.860215;0.000000
30000;0.000000;32.856934;913049.293368;1.883057;15931544.146247;0.000000
40000;0.000000;42.850098;933486.787379;2.516113;15897535.416262;0.000000
50000;0.000000;54.489990;917599.724003;3.002930;16650406.504065;0.000000
60000;0.000000;64.822998;925597.423874;3.424805;17519247.219846;0.000000
70000;0.000000;75.914062;922095.296902;3.937988;17775573.465592;0.000000
80000;0.000000;87.373047;915614.172348;4.434814;18039086.154693;0.000000
90000;0.000000;97.343994;924556.268669;4.948975;18185585.318929;0.000000
100000;0.000000;114.328125;874675.413421;5.468994;18284897.995625;0.000000
200000;0.000000;219.947021;909309.881308;10.760010;18587343.725183;0.000000
300000;0.000000;325.020020;923020.066372;15.607178;19221925.008212;0.000000
400000;0.000000;437.439941;914411.241722;20.399902;19607937.001843;0.000000
500000;0.000000;543.660156;919692.190520;25.314209;19751752.871623;0.000000
600000;0.000000;680.761963;881365.341642;30.172119;19885908.484039;0.000000
700000;0.000000;763.067871;917349.591717;35.012207;19993026.985566;0.000000
800000;0.000000;866.912109;922815.578821;39.107910;20456219.644663;0.000000
900000;0.000000;983.190918;915386.812013;44.859131;20062805.113664;0.000000
