N_streams;elapsed_time;throughput;avg_latency;avgStreamOccupancy
1;49.932129;20027185.339474;0.000050;100.000000
2;50.583008;19769484.719192;0.000051;100.000000
3;51.262939;19507269.982331;0.000051;100.000000
4;51.363037;19469253.694452;0.000051;100.000000
5;52.103027;19192742.744150;0.000052;100.000000
6;52.692139;18978163.065789;0.000053;100.000000
7;53.307861;18758959.280784;0.000053;100.000000
8;53.872070;18562494.335176;0.000054;100.000000
9;54.450928;18365160.000179;0.000054;100.000000
10;53.423096;18718495.939604;0.000053;100.000000
11;54.093994;18486340.598188;0.000054;100.000000
12;54.109131;18481169.150525;0.000054;100.000000
13;55.187988;18119884.981199;0.000055;100.000000
14;55.878906;17895840.615170;0.000056;100.000000
15;56.481934;17704776.312946;0.000056;100.000000
16;56.394043;17732369.366639;0.000056;100.000000
17;57.241211;17469930.905058;0.000057;100.000000
18;57.975830;17248567.181401;0.000058;100.000000
19;57.714844;17326565.143824;0.000058;100.000000
20;57.552002;17375590.180416;0.000058;100.000000
21;59.319092;16857978.935758;0.000059;100.000000
22;58.060059;17223544.450705;0.000058;100.000000
23;59.498047;16807274.398451;0.000059;100.000000
24;58.989014;16952309.214093;0.000059;100.000000
25;59.395020;16836428.506836;0.000059;97.812500
